"s","p","o","lang"
"http://lariojaturismo.gnoss.com/items/Landmark_1f290077-7ffa-4629-ba4d-8466577b3b6b_6c72423d-ad10-496a-9b2d-8286d134282b","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_203e11fa-2c10-4a15-8ed5-ecbaf87d364a_fd8c5fb5-53a9-439c-9e50-bec750c727d0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_224b7a0b-3645-4dc3-a1bc-ddd6ad8300c9_1342e2e9-2c17-4511-bcc2-f7146b3e207e","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_22983285-ce14-4160-ae8b-fb970de53f99_2982d6c3-af18-4b38-b5e2-67f8d5bdbbfd","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_232534e2-3990-45f6-813c-c0a506c9cb89_ee2de32a-c692-4c03-88ed-69c48c5e0cca","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_233a5eda-f08c-4803-b363-c7851c97fde0_4604c2d6-aa0c-4e08-b0c3-3bac8072ad54","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_233a8e74-e19c-4bb6-bf28-bc333a0cb267_60868094-e6d7-44a5-8081-9ba693d92b65","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_234a8d57-109e-4af9-8ab1-8ff07166647f_9cbd4ea8-6c52-46f4-819d-b736618dc42e","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_24fc1193-fbc8-44a8-9ee1-7c30e991b927_d9165e7b-e7dd-4a8a-878e-93a9f0c47c97","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_25c05dab-59fb-45ca-a9fc-f21bde3efd7a_a40ff9e4-6f48-4131-9d6d-3b80de5bb29a","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
